trade_id,entry_unix,entry_et,entry_time_et,entry_price,entry_session_id,exit_unix,exit_et,exit_time_et,exit_price,exit_session_id,direction,bars_held,minutes_held,stop_price_at_entry,max_adverse_excursion_usd,point_value_usd,loss_cap_usd,exit_reason,pnl_pct,trade_profit_pct,pnl_usd,trade_profit_usd,cumulative_pnl_pct,cumulative_pnl_usd,result,updated_at_utc
1768996200|SHORT,1768996200,2026-01-21 06:50:00 ET,2026-01-21 06:50:00 ET,25071.75,2026-01-21,1768998300,2026-01-21 07:25:00 ET,2026-01-21 07:25:00 ET,25071.25,2026-01-21,SHORT,7,35.0,25096.75,-350.0,20.0,500.0,signal_flat,0.02,0.02,10.0,10.0,1.64405728737443,822.0286436872152,WIN,2026-03-30T04:16:29.549958+00:00
1769004600|LONG,1769004600,2026-01-21 09:10:00 ET,2026-01-21 09:10:00 ET,25198.0,,1769021700,2026-01-21 13:55:00 ET,2026-01-21 13:55:00 ET,25285.75,,LONG,55,,,,,,,0.3231750081372775,0.3231750081372775,161.58750406863876,161.58750406863876,1.9672322955117074,983.616147755854,WIN,2026-03-30T02:38:12.514799+00:00
1769030700|SHORT,1769030700,2026-01-21 16:25:00 ET,2026-01-21 16:25:00 ET,25512.5,,1769032500,2026-01-21 16:55:00 ET,2026-01-21 16:55:00 ET,25506.5,,SHORT,5,,,,,,,-0.0014888586140737736,-0.0014888586140737736,-0.7444293070368868,-0.7444293070368868,1.9657434368976336,982.8717184488171,LOSS,2026-03-30T02:38:12.514814+00:00
1769036700|LONG,1769036700,2026-01-21 18:05:00 ET,2026-01-21 18:05:00 ET,25562.5,,1769053500,2026-01-21 22:45:00 ET,2026-01-21 22:45:00 ET,25579.0,,LONG,55,,,,,,,0.03951464763765067,0.03951464763765067,19.757323818825334,19.757323818825334,2.005258084535284,1002.6290422676424,WIN,2026-03-30T02:31:10.511735+00:00
1769037000|LONG,1769037000,2026-01-21 18:10:00 ET,2026-01-21 18:10:00 ET,25545.25,,1769053500,2026-01-21 22:45:00 ET,2026-01-21 22:45:00 ET,25579.0,,LONG,54,,,,,,,0.10708644589696448,0.10708644589696448,53.54322294848224,53.54322294848224,2.1123445304322486,1056.1722652161245,WIN,2026-03-30T02:38:12.514846+00:00
1769069100|LONG,1769069100,2026-01-22 03:05:00 ET,2026-01-22 03:05:00 ET,25615.75,,1769085900,2026-01-22 07:45:00 ET,2026-01-22 07:45:00 ET,25684.25,,LONG,55,,,,,,,0.2423501740921541,0.2423501740921541,121.17508704607704,121.17508704607704,2.3546947045244027,1177.3473522622016,WIN,2026-03-30T02:38:12.514880+00:00
1769100300|LONG,1769100300,2026-01-22 11:45:00 ET,2026-01-22 11:45:00 ET,25687.25,,1769117100,2026-01-22 16:25:00 ET,2026-01-22 16:25:00 ET,25659.5,,LONG,55,,,,,,,-0.1329993527365625,-0.1329993527365625,-66.49967636828124,-66.49967636828124,2.22169535178784,1110.8476758939205,LOSS,2026-03-30T02:38:12.514913+00:00
1769157000|SHORT,1769157000,2026-01-23 03:30:00 ET,2026-01-23 03:30:00 ET,25607.5,2026-01-23,1769159100,2026-01-23 04:05:00 ET,2026-01-23 04:05:00 ET,25623.0,2026-01-23,SHORT,7,35.0,25632.5,-495.0,20.0,500.0,signal_flat,-0.62,-0.62,-310.0,-310.0,1.60169535178784,800.8476758939205,LOSS,2026-03-30T04:16:29.550509+00:00
1769160900|SHORT,1769160900,2026-01-23 04:35:00 ET,2026-01-23 04:35:00 ET,25576.5,,1769177700,2026-01-23 09:15:00 ET,2026-01-23 09:15:00 ET,25570.0,,SHORT,55,,,,,,,-0.0009078576900578561,-0.0009078576900578561,-0.45392884502892805,-0.45392884502892805,1.6007874940977822,800.3937470488916,LOSS,2026-03-30T02:38:12.514963+00:00
1769161200|SHORT,1769161200,2026-01-23 04:40:00 ET,2026-01-23 04:40:00 ET,25551.75,2026-01-23,1769163600,2026-01-23 05:20:00 ET,2026-01-23 05:20:00 ET,25571.0,2026-01-23,SHORT,8,40.0,25576.75,-460.0,20.0,500.0,signal_flat,-0.77,-0.77,-385.0,-385.0,0.8307874940977822,415.39374704889156,LOSS,2026-03-30T04:16:29.550557+00:00
1769180700|LONG,1769180700,2026-01-23 10:05:00 ET,2026-01-23 10:05:00 ET,25706.0,,1769190300,2026-01-23 12:45:00 ET,2026-01-23 12:45:00 ET,25730.0,,LONG,31,,,,,,,0.06832278568398298,0.06832278568398298,34.161392841991486,34.161392841991486,0.8991102797817652,449.555139890883,WIN,2026-03-30T02:38:12.514982+00:00
1769190000|SHORT,1769190000,2026-01-23 12:40:00 ET,2026-01-23 12:40:00 ET,25730.0,,1769205300,2026-01-23 16:55:00 ET,2026-01-23 16:55:00 ET,25685.5,,SHORT,50,,,,,,,0.14659163674624054,0.14659163674624054,73.29581837312027,73.29581837312027,1.0457019165280057,522.8509582640033,WIN,2026-03-30T02:38:12.515005+00:00
